date, pm25, pm10, o3, no2, so2, co
2023/6/17, 38, , 31, 18, , 3
2023/6/18, 24, , 34, 18, , 2
2023/6/19, 22, 27, 26, 22, , 2
2023/6/20, 20, 25, 27, 17, , 3
2023/6/21, 21, 31, 33, 24, , 3
2023/6/22, 27, 28, 13, 28, , 5
2023/6/23, 37, 27, 19, 17, , 5
2023/6/24, 27, 24, 33, 19, , 
2023/6/25, 21, 37, 30, 30, , 
2023/6/26, 32, 32, 28, 27, , 
2023/6/27, 30, 24, 25, 25, , 
2023/6/28, 23, 18, 22, 24, , 
2023/6/29, 25, 33, 13, 27, , 
2023/6/30, 36, 21, 26, 14, , 2
2023/1/2, 10, 7, 16, , , 2
2023/1/3, 12, 9, 16, , , 2
2023/1/4, 12, 16, 15, , , 3
2023/1/5, 12, 18, 5, , 2, 2
2023/1/6, 31, 19, 9, , 2, 3
2023/1/7, 35, 22, 2, , 1, 5
2023/1/8, 39, 32, 3, , 3, 4
2023/1/9, 51, 18, 8, , 2, 2
2023/1/10, 29, 12, 16, , 1, 2
2023/1/11, 17, 15, 14, , 1, 2
2023/1/12, 15, 14, 13, , , 1
2023/1/13, 20, 20, 8, , , 3
2023/1/14, 28, 21, 11, , , 1
2023/1/15, 31, 23, 11, , , 1
2023/1/16, 34, 18, 6, 14, , 3
2023/1/17, 33, 23, , 14, , 3
2023/1/18, 36, , , , , 
2023/1/22, 58, 23, 12, , , 1
2023/1/23, 36, 19, 9, 8, , 2
2023/1/24, 25, 13, 9, 7, , 1
2023/1/25, 16, 14, 7, 8, , 3
2023/1/26, 21, 11, 13, 7, , 1
2023/1/27, 19, 15, 12, 10, , 4
2023/1/28, 25, 15, 12, 12, , 1
2023/1/29, 22, 8, 17, 12, , 2
2023/1/30, 11, 13, 16, 12, , 2
2023/1/31, 19, 17, 10, 16, , 3
2023/2/1, 30, 23, 7, 18, , 2
2023/2/2, 35, 26, 2, 16, , 2
2023/2/3, 48, 21, 2, 22, , 
2023/2/4, 31, 23, 5, 16, , 
2023/2/5, 28, 15, 13, 23, , 
2023/2/6, 25, 22, 8, 26, , 
2023/2/7, 37, 15, 15, 20, , 
2023/2/8, 21, 13, 15, 21, , 
2023/2/9, 18, 13, 18, 14, , 
2023/2/10, 18, 14, 18, 13, , 
2023/2/11, 23, 11, 19, 14, , 
2023/2/12, 15, 11, 8, 25, , 
2023/2/13, 9, 12, 18, 18, , 1
2023/2/14, 14, 10, 20, 15, , 1
2023/2/15, 12, 11, 16, 21, , 1
2023/2/16, 11, 18, 13, 26, , 2
2023/2/17, 30, 21, 15, 24, , 2
2023/2/18, 34, 14, 16, 21, , 1
2023/2/19, 27, 28, 13, 31, , 2
2023/2/20, 44, 44, 17, 31, , 3
2023/2/21, 63, 34, 15, 21, , 2
2023/2/22, 52, 19, 17, 22, , 1
2023/2/23, 31, 18, 16, 21, , 1
2023/2/24, 28, 21, 7, 21, , 2
2023/2/25, 27, 10, 14, 12, , 1
2023/2/26, 18, 13, 17, 14, , 1
2023/2/27, 19, 7, 22, 19, , 
2023/2/28, 11, 8, 22, 17, , 
2023/3/1, 13, 5, 20, 17, , 
2023/3/2, 7, 10, 18, 23, , 
2023/3/3, 9, 8, 14, 21, , 
2023/3/4, 11, 11, 18, 16, , 
2023/3/5, 13, 11, 13, 22, , 
2023/3/6, 16, 10, 18, 20, , 
2023/3/7, 15, 18, 16, 26, , 
2023/3/8, 29, 11, , 21, , 
2023/3/9, 13, 11, , 33, , 
2023/3/10, 14, , 14, , 1, 
2023/3/13, 16, 10, 24, 21, , 2
2023/3/14, 13, 14, 25, 19, 1, 2
2023/3/15, 22, 25, 11, 23, , 3
2023/3/16, 39, 30, 25, 21, , 2
2023/3/17, 20, 91, 20, 33, 2, 5
2023/3/18, 51, 55, 13, 30, 2, 3
2023/3/19, 32, 49, 13, 36, , 4
2023/3/20, 28, 37, 20, 25, , 3
2023/3/21, 23, 26, 13, 18, , 2
2023/3/22, 22, 30, 22, 16, , 1
2023/3/23, 17, 22, 22, 20, , 4
2023/3/24, 23, 20, 11, 24, , 1
2023/3/25, 23, 16, 8, 18, , 2
2023/3/26, 24, 19, 15, 21, , 
2023/3/27, 19, 45, , 24, , 
2023/3/28, 25, , 12, , , 
2022/10/1, 40, , 19, 16, 1, 3
2022/10/2, 15, 14, 19, 16, 2, 2
2022/10/3, 19, 11, 18, 13, , 2
2022/10/4, 15, 9, 13, 16, , 1
2022/10/5, 12, 28, 5, 19, , 2
2022/10/6, 17, 19, 20, 16, , 1
2022/10/7, 19, 26, 14, 19, , 1
2022/10/8, 15, 18, 27, 15, , 1
2022/10/9, 18, 23, 19, 17, , 2
2022/10/10, 17, 34, 15, 26, , 4
2022/10/11, 23, 46, , 29, , 10
2022/10/12, 40, 29, 9, 21, , 4
2022/10/13, 21, 29, 7, 25, , 2
2022/10/14, 23, 29, 6, 28, , 2
2022/10/15, 26, 25, 26, 20, , 1
2022/10/16, 23, 20, 21, 18, , 2
2022/10/17, 22, 15, 18, 18, , 1
2022/10/18, 19, 15, 15, 23, , 3
2022/10/19, 14, 25, 15, 20, , 3
2022/10/20, 17, 19, 14, 20, , 2
2022/10/21, 18, 18, 8, 22, , 1
2022/10/22, 16, 20, 9, 18, , 2
2022/10/23, 23, 21, 18, 17, , 2
2022/10/24, 18, 42, 8, 29, , 5
2022/10/25, 30, 36, 9, 25, , 
2022/10/26, 33, 39, 1, 26, 1, 
2022/10/27, 39, 33, 1, 19, 1, 
2022/10/28, 34, 10, 6, 17, 1, 
2022/10/29, 14, 9, 29, 13, 3, 
2022/10/30, 9, 8, 24, 9, 2, 
2022/10/31, 5, 23, 24, 18, 2, 
2022/11/1, 11, 47, 11, 22, 2, 
2022/11/2, 26, 35, 13, 10, 1, 
2022/11/3, 19, , , , , 
2022/11/12, 7, 15, 32, 7, 1, 
2022/11/13, 13, 25, 28, 14, 1, 
